orgnr,name,org_form,status,freshness_status,industry_code,industry_description,employee_count,ceo_name,board_chair,revenue,currency,latest_financial_year,last_verified_at
923609016,EQUINOR ASA,ASA,Active / Operating,CURRENT,06.100,Utvinning av råolje,21239,Anders Opedal,Jarle Kjell Roth,67956000000.0,USD,2025,2026-09-14T10:04:55.060657+00:00
989951750,2CARE HJEMMETJENESTER AS,AS,Active / Operating,CURRENT,88.101,Praktisk bistand i hjemmet,529,,,,NOK,,2026-09-14T10:08:23.344543+00:00
919742356,3B-FIBREGLASS NORWAY AS,AS,Active / Operating,CURRENT,23.140,Produksjon av glassfibre,338,,,,NOK,,2026-09-14T10:08:27.334429+00:00
986587098,2CARE BPA AS,AS,Active / Operating,CURRENT,88.104,Brukerstyrt personlig assistanse (bpa),240,,,,NOK,,2026-09-14T10:08:23.344543+00:00
995251094,24SEVENOFFICE NORWAY AS,AS,Active / Operating,CURRENT,58.290,Utgivelse av annen programvare,136,,,,NOK,,2026-09-14T10:08:22.771295+00:00
929369661,1814SALMON AS,AS,Active / Operating,CURRENT,10.203,"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr",77,,,,NOK,,2026-09-14T10:08:19.576693+00:00
929455568,1X TECHNOLOGIES AS,AS,Active / Operating,CURRENT,28.990,Produksjon av andre spesialmaskiner ikke nevnt annet sted,69,,,,NOK,,2026-09-14T10:08:20.388018+00:00
983569285,2ENTERTAIN NORGE AS,AS,Active / Operating,CURRENT,90.202,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor scenekunst,68,,,,NOK,,2026-09-14T10:08:23.924825+00:00
921439156,360 LOGISTICS AS,AS,Active / Operating,CURRENT,82.920,Pakkevirksomhet,62,,,,NOK,,2026-09-14T10:08:26.761638+00:00
986897399,3T BYÅSEN AS,AS,Active / Operating,CURRENT,93.130,Treningssentervirksomhet,55,,,,NOK,,2026-09-14T10:08:29.828951+00:00
980292738,1-2-TRE ELEMENTPRODUKSJON AS,AS,Active / Operating,CURRENT,16.230,Produksjon av andre bygningsartikler,48,Robin Christensen,Thomas Beck,106022831.0,NOK,2025,2026-09-14T10:08:13.288907+00:00
919871466,2TAL UTEMILJØ ANLEGGSGARTNER AS,AS,Active / Operating,CURRENT,43.120,Grunnarbeid,47,,,,NOK,,2026-09-14T10:08:25.221218+00:00
878703812,3 STEP IT AS,AS,Active / Operating,CURRENT,77.330,Utleie og leasing av kontor- og datamaskiner,41,,,,NOK,,2026-09-14T10:08:26.081388+00:00
977385369,3RW ARKITEKTER AS,AS,Active / Operating,CURRENT,71.110,Arkitektvirksomhet,38,,,,NOK,,2026-09-14T10:08:29.826942+00:00
918321659,3 N LOGISTICS AS,AS,Active / Operating,CURRENT,47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",38,,,,NOK,,2026-09-14T10:08:26.079386+00:00
912187691,3T FOSSEGRENDA AS,AS,Active / Operating,CURRENT,93.130,Treningssentervirksomhet,37,,,,NOK,,2026-09-14T10:08:29.828951+00:00
999577547,29-2 AURLAND AS,AS,Active / Operating,CURRENT,79.121,Aktiviteter utført av utflukts- og eventarrangører,31,,,,NOK,,2026-09-14T10:08:23.339441+00:00
935435331,1INCH INNREDNING AS,AS,Active / Operating,CURRENT,43.320,Snekkerarbeid,31,,,,NOK,,2026-09-14T10:08:20.383327+00:00
980888657,3 T LEVANGER AS,AS,Active / Operating,CURRENT,93.130,Treningssentervirksomhet,30,,,,NOK,,2026-09-14T10:08:26.082387+00:00
952621378,3PL SOLUTIONS AS,AS,Active / Operating,CURRENT,52.100,Lagring,28,,,,NOK,,2026-09-14T10:08:29.825566+00:00
955497643,2TAL AS,AS,Active / Operating,CURRENT,43.320,Snekkerarbeid,27,,,,NOK,,2026-09-14T10:08:25.220218+00:00
914307635,3M NORGE AS,AS,Active / Operating,CURRENT,46.900,Uspesifisert engroshandel,27,,,,NOK,,2026-09-14T10:08:29.157089+00:00
929032470,1 OSLO RENHOLDSSERVICE AS,AS,Active / Operating,CURRENT,81.210,Rengjøring av bygninger,25,Masoud Chapar,Masoud Chapar,6195877.0,NOK,2025,2026-09-14T10:08:12.576571+00:00
925273236,1 HJELPENDE HÅND AS,AS,Active / Operating,CURRENT,81.100,Kombinerte tjenester tilknyttet eiendomsdrift,24,Milo Stanisic Waagaard,Tommy Fredriksen,37980198.0,NOK,2025,2026-09-14T10:08:12.573428+00:00
998781558,10/10 TEKSTILTRYKKERI AS,AS,Active / Operating,CURRENT,13.300,Etterbehandling av tekstiler,24,Jostein Wålengen,Jostein Wålengen,14400955.0,NOK,2025,2026-09-14T10:08:15.308832+00:00
994151010,0 - 6 ULLENSAKERGATA BARNEHAGE AS,AS,Active / Operating,CURRENT,85.100,Førskoleundervisning og drift av barnehager,23,Anders Nederhoed,Anders Nederhoed,6756433.0,NOK,2025,2026-09-14T10:08:08.815052+00:00
929431650,0186 BARDRIFT AS,AS,Active / Operating,CURRENT,56.300,Drift av barer,22,Morten Guldvik,Morten Guldvik,12105951.0,NOK,2025,2026-09-14T10:08:09.586685+00:00
933807045,2RVE RENHOLD AS,AS,Active / Operating,CURRENT,81.210,Rengjøring av bygninger,22,,,,NOK,,2026-09-14T10:08:24.631063+00:00
999286976,0 - 6 VÅLERENGGATA BARNEHAGE AS,AS,Active / Operating,CURRENT,85.100,Førskoleundervisning og drift av barnehager,21,Henrieta Nederhoed,Anders Nederhoed,6445482.0,NOK,2025,2026-09-14T10:08:08.823182+00:00
932761084,2 BYGG AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,20,,,,NOK,,2026-09-14T10:08:20.389579+00:00
876624532,3-T BYGG AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,19,,,,NOK,,2026-09-14T10:08:26.084899+00:00
990702438,100-METERSKOGEN BARNEHAGE AS,AS,Active / Operating,CURRENT,85.100,Førskoleundervisning og drift av barnehager,19,Ingvild Anita Hansen,Ingvild Anita Hansen,10855361.0,NOK,2025,2026-09-14T10:08:15.565367+00:00
918632514,3 T BYGG AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,19,,,,NOK,,2026-09-14T10:08:26.082387+00:00
995277387,3 BYGG GAUSDAL AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,17,,,,NOK,,2026-09-14T10:08:25.225757+00:00
930459615,1850 NUMMEROPPLYSNINGEN AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,16,,,,NOK,,2026-09-14T10:08:19.577672+00:00
916677391,2 MARINE AS,AS,Active / Operating,CURRENT,50.202,Innenriks sjøfart med gods,16,,,,NOK,,2026-09-14T10:08:21.212006+00:00
918275010,3 N SUPPORT AS,AS,Active / Operating,CURRENT,47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",16,,,,NOK,,2026-09-14T10:08:26.079386+00:00
998332354,24 RENHOLDSERVICE AS,AS,Active / Operating,CURRENT,81.210,Rengjøring av bygninger,15,,,,NOK,,2026-09-14T10:08:22.764252+00:00
979420773,3D PERCEPTION AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,15,,,,NOK,,2026-09-14T10:08:27.948357+00:00
928624404,3 VENNER AS,AS,Active / Operating,CURRENT,56.110,Drift av restauranter,15,,,,NOK,,2026-09-14T10:08:26.083385+00:00
912610497,3P LOGISTIKK AS,AS,Active / Operating,CURRENT,52.100,Lagring,14,,,,NOK,,2026-09-14T10:08:29.824565+00:00
918488081,2STABILISE AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,12,,,,NOK,,2026-09-14T10:08:25.219220+00:00
985233632,2TAL ELEKTRO AS,AS,Active / Operating,CURRENT,43.210,Elektrisk installasjonsarbeid,12,,,,NOK,,2026-09-14T10:08:25.221218+00:00
988389846,3NET AS,AS,Active / Operating,CURRENT,61.100,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",12,,,,NOK,,2026-09-14T10:08:29.822041+00:00
975339793,3 TS INDUSTRISERVICE AS,AS,Active / Operating,CURRENT,25.530,Bearbeiding av metaller,12,,,,NOK,,2026-09-14T10:08:26.083385+00:00
936446884,33 STREET FOOD FREDRIKSTAD AS,AS,Active / Operating,CURRENT,56.110,Drift av restauranter,11,,,,NOK,,2026-09-14T10:08:26.758661+00:00
931244558,1KELT AS,AS,Active / Operating,CURRENT,49.420,Flyttetransport,11,,,,NOK,,2026-09-14T10:08:20.383837+00:00
920941168,2 KNOP AS,AS,Active / Operating,CURRENT,56.110,Drift av restauranter,11,,,,NOK,,2026-09-14T10:08:21.212006+00:00
923065369,1-2-TREBYGG AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,11,Ørjan Ragnar Fagerjord,Ørjan Ragnar Fagerjord,10131009.0,NOK,2025,2026-09-14T10:08:13.291432+00:00
922754160,3 PIKER AS,AS,Active / Operating,CURRENT,47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,11,,,,NOK,,2026-09-14T10:08:26.080389+00:00
